ZAR	1	0.2804
XDR	1	5.6545
XAU	1	166.6755
USD	1	4.0744
UAH	1	0.1484
TRY	1	0.7687
THB	1	0.1252
SEK	1	0.4514
RUB	1	0.0588
RSD	1	0.0393
PLN	1	1.085
NZD	1	2.7346
NOK	1	0.466
MXN	1	0.2044
MDL	1	0.2373
KRW	100	0.3633
JPY	100	3.6771
INR	1	0.0579
HUF	100	1.4456
HRK	1	0.627
GBP	1	5.1477
EUR	1	4.6471
EGP	1	0.2271
DKK	1	0.6224
CZK	1	0.1797
CNY	1	0.5935
CHF	1	4.1145
CAD	1	2.9944
BRL	1	1.0394
BGN	1	2.376
AUD	1	2.8721
AED	1	1.1093
